District,Address,Price,Rentmode,Room,Hall,Bathroom,Area,Decoration,Orientation,Floor,Maintain,Elevator,Parking,Gas,Washingmachine,Airconditioner,Wardrobe,TV,Refrigerator,Waterheater,Bed,Heating,Broadband,Naturalgas,Longitude,Latitude
湖里,南山路-博士山庄,2200,整租,2,1,1,50.00,0,南/北,8,1天前,无,暂无数据,有,1,1,1,1,1,1,1,0,0,0,118.119,24.514
湖里,SM-兴山花园,2100,整租,1,1,1,35.00,1,南,25,1天前,无,暂无数据,无,1,1,1,1,1,1,1,0,0,0,118.138,24.507
湖里,江头-东方巴黎广场,1500,整租,1,0,1,15.00,0,东南,30,3天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.135,24.499
湖里,江头-裕兴大厦,2600,整租,1,1,1,50.00,1,南,23,1天前,有,暂无数据,无,1,0,1,1,1,0,1,0,0,0,118.134,24.503
湖里,金山-锦绣金山,3600,整租,3,2,1,89.00,1,南/北,6,1天前,无,租用车位,有,0,0,1,0,0,0,1,0,0,0,118.160,24.506
湖里,枋湖-新港龙世家幸福密码,4200,整租,2,1,1,86.00,0,南/北,13,8天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.153,24.515
湖里,东渡-半山林海二期,4200,整租,3,2,2,117.00,0,南/北,12,2天前,有,租用车位,有,0,0,1,0,0,0,1,0,0,0,118.098,24.503
湖里,江头-华永天地,1400,整租,1,0,1,15.00,0,南,15,16天前,有,暂无数据,无,0,0,0,0,0,0,0,0,0,0,118.139,24.498
湖里,高新技术园-国际石材中心,2800,整租,2,1,1,38.00,1,东北,9,今天,有,暂无数据,无,1,1,1,1,1,1,1,0,0,0,118.167,24.537
湖里,湖边水库-宝龙一城,8700,整租,3,1,1,150.00,1,东南,26,2天前,有,租用车位,无,1,1,1,0,1,1,1,0,0,0,118.177,24.491
湖里,南山路-禹洲新村一，二期,3500,整租,2,2,1,75.00,1,南/北,8,今天,无,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.123,24.508
湖里,枋湖-中央美地,800,整租,1,0,0,33.00,0,南,0,9天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.151,24.515
湖里,高新技术园-国际石材中心,1800,整租,1,1,1,20.00,1,西南,9,25天前,有,暂无数据,无,1,1,1,1,1,1,1,0,1,1,118.167,24.537
湖里,枋湖-永建顶尚,2250,整租,2,1,1,40.00,1,北,5,2天前,无,暂无数据,无,0,0,0,0,0,0,0,0,0,0,118.156,24.518
湖里,南山路-泰裕新城二期,4500,整租,3,1,1,100.00,0,南/北,10,今天,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.124,24.509
湖里,南山路-禹洲新村一，二期,4500,整租,3,2,2,112.08,1,南/北,9,今天,无,暂无数据,有,1,1,0,1,1,1,1,0,0,1,118.123,24.508
湖里,万达广场-特房山水尚座湖里,1350,整租,1,0,1,20.00,1,南,32,3天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.179,24.510
集美,集美新城-中海杏林鹭湾,4500,整租,3,2,2,110.00,1,南,33,1天前,无,暂无数据,暂无数据,0,1,0,0,0,1,0,0,0,1,118.050,24.609
集美,集美新城-莲花新城一期,5000,整租,3,2,2,117.00,1,东南,33,4天前,有,暂无数据,有,1,1,1,0,1,1,1,0,0,1,118.065,24.608
集美,集美新城-住宅·水晶湖郡,5200,整租,4,2,2,142.00,1,西南,31,3天前,无,暂无数据,暂无数据,0,0,1,0,0,0,1,0,0,0,118.096,24.595
集美,集美新城-莲花新城一期,4000,整租,3,2,2,108.00,1,南,27,1天前,有,租用车位,有,1,1,1,1,1,1,1,0,0,1,118.065,24.608
集美,杏林桥头-禹洲中央海岸二期,1900,整租,1,1,1,30.00,1,东南,33,6天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.072,24.571
集美,集美新城-恒大帝景,4200,整租,3,2,2,120.11,1,东,31,7天前,有,暂无数据,有,0,0,1,0,0,0,1,0,0,0,118.083,24.617
集美,集美其它-古龙御景一期南区,2100,整租,1,1,1,47.00,1,南,20,9天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.123,24.590
集美,集美其它-祥和雅筑二期,3500,整租,3,2,2,116.00,1,南/北,17,今天,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.108,24.611
集美,杏北-龙湖春江郦城二期,1800,整租,1,1,1,45.00,1,东南,33,今天,有,租用车位,有,1,1,1,1,1,1,1,0,0,0,118.060,24.590
集美,杏林桥头-禹洲中央海岸二期,3700,整租,3,2,1,91.00,1,西南,33,2天前,有,暂无数据,有,1,1,0,1,1,1,0,0,0,1,118.072,24.571
集美,集美其它-丰融尚城,3600,整租,3,2,1,90.00,1,东南,15,2天前,有,暂无数据,有,1,1,1,0,1,1,1,0,0,0,118.115,24.592
集美,杏林桥头-禹洲中央海岸一期,3700,整租,3,2,1,92.00,1,东南,36,2天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,1,118.071,24.568
集美,集美新城-中交和美新城（二期三期）,3500,整租,2,1,1,80.00,0,东南,34,3天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.054,24.612
集美,集美其它-海上五月花三期,450,整租,1,0,0,36.50,0,东,33,18天前,有,暂无数据,无,0,0,0,0,0,0,0,0,0,0,118.126,24.608
集美,集美文教区-红树康桥,400,整租,1,0,0,37.78,0,东南,1,1天前,有,暂无数据,无,0,0,0,0,0,0,0,0,0,0,118.112,24.585
集美,杏林桥头-禹洲中央海岸二期,2650,合租,2,1,1,30.00,0,东南/南,40,今天,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.072,24.571
集美,集美新城-莲花新城三期,4200,整租,3,2,2,130.71,1,西南/北,33,5天前,有,暂无数据,有,1,1,1,1,1,1,1,0,0,0,118.062,24.611
思明,金鸡亭-墩仔家园,1650,整租,1,0,1,25.00,1,南,31,2天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.152,24.481
思明,莲坂-能群大厦,5500,整租,2,1,1,96.00,1,南/西南,24,4天前,有,暂无数据,有,0,0,0,0,0,0,0,0,0,0,118.126,24.483
思明,瑞景-嘉盛豪园,4500,整租,2,1,1,87.00,1,东/南,18,今天,有,租用车位,有,1,1,1,0,1,1,1,0,1,1,118.160,24.484
思明,松柏-天宝大厦,1900,整租,1,0,1,23.00,0,西,31,13天前,有,租用车位,有,1,1,1,0,1,1,1,0,0,0,118.133,24.500
